Data e ora;Temperatura;Umidità (%);PM 1;PM 2.5;PM 10
2024-06-12  12:29:35;31.141;59.9;0.325;0.92;2.6
2024-06-12  12:29:40;31.181;59.9;0.431;1.607;2.462
2024-06-12  12:29:45;31.155;58.6;0.403;1.463;2.778
2024-06-12  12:29:50;31.141;58.6;0.453;1.177;1.847
2024-06-12  12:29:55;31.112;58.6;0.435;1.171;24.9
2024-06-12  12:30:00;31.125;58.6;0.408;1.532;8.824
2024-06-12  12:30:05;31.112;58.6;0.364;0.565;0.587
2024-06-12  12:30:10;31.125;60.6;0.455;1.571;29.628
2024-06-12  12:30:15;31.125;60.6;0.305;0.837;5.605
2024-06-12  12:30:20;31.112;59.8;0.473;2.74;34.534
2024-06-12  12:30:25;31.125;59.8;0.449;2.171;36.879
2024-06-12  12:30:30;31.125;59.6;0.278;1.314;3.874
2024-06-12  12:30:35;31.112;62.1;0.37;1.542;11.773
2024-06-12  12:30:40;31.125;61.6;0.342;1.718;73.904
2024-06-12  12:30:45;31.125;61.6;0.394;0.895;19.848
2024-06-12  12:30:50;31.155;61.6;0.256;0.272;0.272
2024-06-12  12:30:55;31.125;58.2;0.333;0.987;25.321
2024-06-12  12:31:00;31.125;59.3;0.442;1.835;28.531
2024-06-12  12:31:05;31.112;59.1;0.426;0.907;5.844
2024-06-12  12:31:10;31.141;59.1;0.422;0.684;0.709
2024-06-12  12:31:15;31.125;59.1;0.287;0.306;22.414
2024-06-12  12:31:20;31.125;57.6;0.368;1.308;6.909
2024-06-12  12:31:25;31.125;59.1;0.445;2.535;19.476
2024-06-12  12:31:30;31.125;59.1;0.41;0.956;1.023
2024-06-12  12:31:35;31.099;59.1;0.47;1.138;1.322
2024-06-12  12:31:40;31.125;59.1;0.427;1.048;39.433
2024-06-12  12:31:45;31.141;58.0;0.398;0.727;0.769
2024-06-12  12:31:50;31.125;58.0;0.281;1.185;49.007
2024-06-12  12:31:55;31.141;59.2;0.443;1.913;12.256
2024-06-12  12:32:00;31.141;59.3;0.293;1.498;11.807
2024-06-12  12:32:05;31.125;59.3;0.349;1.574;8.743
2024-06-12  12:32:10;31.125;59.2;0.461;1.742;38.681
2024-06-12  12:32:15;31.141;59.2;0.351;1.376;2.623
2024-06-12  12:32:20;31.141;59.2;0.34;0.771;43.442
2024-06-12  12:32:25;31.125;59.2;0.431;0.94;1.005
2024-06-12  12:32:30;31.141;59.2;0.319;1.189;1.85
2024-06-12  12:32:35;31.155;59.4;0.378;2.425;13.327
2024-06-12  12:32:40;31.125;59.3;0.36;1.407;2.193
2024-06-12  12:32:45;31.141;59.3;0.421;1.284;3.317
2024-06-12  12:32:50;31.155;59.3;0.43;1.621;4.244
2024-06-12  12:32:55;31.155;59.6;0.346;0.63;10.434
2024-06-12  12:33:00;31.125;59.6;0.38;1.914;6.032
2024-06-12  12:33:05;31.125;59.6;0.437;1.676;7.529
2024-06-12  12:33:10;31.141;58.1;0.561;1.659;2.469
2024-06-12  12:33:15;31.155;59.4;0.337;0.515;0.537
2024-06-12  12:33:20;31.155;59.4;0.457;1.658;3.878
2024-06-12  12:33:25;31.155;59.4;0.525;2.302;13.163
2024-06-12  12:33:30;31.155;58.0;0.379;0.946;1.116
2024-06-12  12:33:35;31.155;58.0;0.283;0.326;0.326
2024-06-12  12:33:40;31.141;59.2;0.405;2.405;5.815
2024-06-12  12:33:45;31.155;59.2;0.331;0.742;0.887
2024-06-12  12:33:50;31.155;59.2;0.389;2.025;5.237
2024-06-12  12:33:55;31.155;59.3;0.529;1.224;1.394
2024-06-12  12:34:00;31.155;59.3;0.339;1.412;19.133
2024-06-12  12:34:05;31.141;59.1;0.371;1.352;2.127
2024-06-12  12:34:10;31.155;59.1;0.407;1.452;6.744
2024-06-12  12:34:15;31.155;59.1;0.427;1.096;24.294
2024-06-12  12:34:20;31.155;59.0;0.458;1.48;24.53
2024-06-12  12:34:25;31.155;59.0;0.346;0.873;1.497
2024-06-12  12:34:30;31.181;59.0;0.235;0.755;1.384
2024-06-12  12:34:35;31.155;59.0;0.375;0.988;33.098
2024-06-12  12:34:40;31.155;59.1;0.336;1.476;2.724
2024-06-12  12:34:45;31.168;59.1;0.44;0.663;0.671
2024-06-12  12:34:50;31.155;59.2;0.334;0.508;0.529
2024-06-12  16:52:43;31.862;57.4;0.0;0.0;0.0
2024-06-12  16:52:48;31.934;57.4;0.781;1.806;2.705
2024-06-12  16:52:53;31.892;58.5;0.832;3.227;27.821
2024-06-12  16:52:58;31.876;58.5;0.787;1.732;2.45
2024-06-12  16:55:50;31.849;58.4;0.883;2.288;18.022
2024-06-12  16:55:55;31.892;58.4;1.071;2.035;2.861
2024-06-12  16:56:00;31.862;58.4;0.956;2.358;5.168
2024-06-12  16:56:05;31.849;58.5;0.979;3.112;4.778
2024-06-12  16:56:10;31.82;58.5;0.973;2.682;14.49
2024-06-12  16:56:15;31.82;58.5;0.925;2.554;39.719
2024-06-12  16:56:20;31.836;58.4;0.837;1.211;1.362
2024-06-12  17:10:44;31.793;58.4;4.728;13.279;85.297
2024-06-12  17:10:54;31.961;58.4;0.643;2.12;10.623
2024-06-12  17:10:59;31.892;58.4;0.48;0.9;33.472
2024-06-12  17:11:04;31.862;58.3;0.657;1.261;1.433
2024-06-12  17:11:09;31.862;57.9;0.59;2.174;12.281
2024-06-12  17:11:14;31.876;57.9;0.538;1.576;52.401
2024-06-12  17:11:19;31.849;57.5;0.551;2.329;6.634
2024-06-12  17:11:24;31.836;57.5;0.682;1.115;1.148
2024-06-12  17:11:29;31.836;56.0;0.47;1.332;3.472
