tempo;Temperatura;Umidita;pm1;pm2.5;pm10
2024-06-11 09:44:44;25.822;64.7;0.0;0.0;0.0
2024-06-11 09:44:54;25.934;64.4;1.618;5.406;52.94
2024-06-11 09:44:59;26.049;64.4;1.565;8.927;24.267
2024-06-11 09:45:09;26.105;64.4;1.691;7.042;19.727
2024-06-11 09:45:19;26.292;64.099;1.44;5.262;16.916
2024-06-11 09:45:24;26.46;64.099;1.533;6.348;8.697
2024-06-11 10:58:21;31.862;55.5;0.0;0.0;0.0
2024-06-11 10:58:31;31.849;55.5;1.897;6.395;17.972
2024-06-11 10:58:36;31.793;55.5;1.569;5.754;7.208
2024-06-11 10:58:40;31.763;55.5;1.904;6.252;17.666
2024-06-11 10:58:46;31.75;57.3;1.715;7.7;23.235
2024-06-11 10:58:50;31.75;57.4;1.767;6.126;35.093
2024-06-11 10:58:56;31.75;57.4;1.695;6.644;14.823
2024-06-11 10:59:00;31.75;57.5;1.443;8.056;24.661
2024-06-11 11:03:35;31.763;57.5;1.715;7.053;20.982
2024-06-11 11:03:40;31.763;57.5;1.824;7.471;27.068
2024-06-11 11:03:45;31.75;57.5;1.716;7.519;46.526
2024-06-11 11:03:50;31.721;57.5;1.888;5.544;7.319
2024-06-11 11:11:16;31.694;61.1;9.021;31.347;90.844
2024-06-11 11:11:21;31.918;61.1;1.973;6.458;53.943
